,CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
1760,40365013,CRYSTAL ROOM,STATEN ISLAND,67,OLYMPIA BOULEVARD                                 ,10305,7184478926,Italian,2015-04-28,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,2015-04-28,2015-08-14,Cycle Inspection / Initial Inspection
1765,40365022,LABETTI'S POST # 2159,STATEN ISLAND,390,HYLAN BOULEVARD                                   ,10305,7184429312,American ,2015-05-20,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,12.0,A,2015-05-20,2015-08-14,Cycle Inspection / Initial Inspection
1773,40365043,SHELL LANES,BROOKLYN,1,BOUCK COURT,11223,7183366700,American ,2014-12-10,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,2014-12-10,2015-08-14,Cycle Inspection / Initial Inspection
1811,40365075,MCSORLEY'S OLD ALE HOUSE,MANHATTAN,15,EAST    7 STREET,10003,2122542570,Irish,2015-05-20,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,2.0,A,2015-05-20,2015-08-14,Cycle Inspection / Initial Inspection
1833,40365098,FORLINIS RESTAURANT,MANHATTAN,93,BAXTER STREET,10013,2123496779,Italian,2015-05-28,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,A,2015-05-28,2015-08-14,Cycle Inspection / Re-inspection
1860,40365120,SOUTH SHORE SWIMMING CLUB,STATEN ISLAND,6736,HYLAN BOULEVARD                                   ,10309,7182274285,American ,2015-07-16,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,10.0,A,2015-07-16,2015-08-14,Cycle Inspection / Re-inspection
1876,40365166,CORNER BISTRO,MANHATTAN,331,WEST    4 STREET                                  ,10014,2122429502,American ,2014-11-17,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,2014-11-17,2015-08-14,Cycle Inspection / Initial Inspection
1892,40365226,NOSTRAND DONUT SHOP,BROOKLYN,1449,NOSTRAND AVENUE                                   ,11226,7188263008,Donuts,2015-07-27,Establishment re-opened by DOHMH,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3.0,Z,2015-07-27,2015-08-14,Cycle Inspection / Reopening Inspection
1947,40365239,DORRIAN'S RED HAND RESTAURANT,MANHATTAN,1616,2 AVENUE                                          ,10028,2127726660,Irish,2015-02-24,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3.0,A,2015-02-24,2015-08-14,Cycle Inspection / Re-inspection
1964,40365264,LA GRENOUILLE,MANHATTAN,3,EAST   52 STREET                                  ,10022,2127521495,French,2015-06-03,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,11.0,A,2015-06-03,2015-08-14,Cycle Inspection / Re-inspection
1973,40365280,COMO PIZZA,MANHATTAN,4035,BROADWAY,10032,2129287867,Pizza,2015-07-14,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,6.0,A,2015-07-14,2015-08-14,Cycle Inspection / Initial Inspection
1988,40365288,KEATS RESTAURANT,MANHATTAN,842,2 AVENUE                                          ,10017,2126825490,American ,2015-03-19,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,2015-03-19,2015-08-14,Cycle Inspection / Re-inspection
2002,40365293,ANGELO OF MULBERRY ST.,MANHATTAN,146,MULBERRY STREET,10013,2129661277,Italian,2015-04-21,Violations were cited in the following area(s).,08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",Not Critical,9.0,A,2015-04-21,2015-08-14,Cycle Inspection / Initial Inspection
2021,40365348,PANCHITO'S,MANHATTAN,103,MACDOUGAL STREET,10012,2124735239,Mexican,2015-05-01,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,2015-05-01,2015-08-14,Cycle Inspection / Initial Inspection
2045,40365355,NEW CORNER,BROOKLYN,7201,8 AVENUE                                          ,11228,7188330800,Italian,2014-12-04,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11.0,A,2014-12-04,2015-08-14,Cycle Inspection / Initial Inspection
2075,40365361,THE PRINCETON CLUB,MANHATTAN,15,WEST   43 STREET                                  ,10036,2125961272,American ,2015-05-13,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140å¼ F to 70å¼ F or less within 2 hours, and from 70å¼ F to 41å¼ F or less within 4 additional hours.",Critical,10.0,A,2015-05-13,2015-08-14,Cycle Inspection / Initial Inspection
2119,40365387,ARTURO'S,MANHATTAN,106,WEST HOUSTON STREET                               ,10012,2126773820,Italian,2015-04-03,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140å¼ F to 70å¼ F or less within 2 hours, and from 70å¼ F to 41å¼ F or less within 4 additional hours.",Critical,12.0,A,2015-04-03,2015-08-14,Cycle Inspection / Initial Inspection
2143,40365414,LE PERIGORD,MANHATTAN,405,EAST   52 STREET                                  ,10022,2127556244,French,2015-03-16,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9.0,A,2015-03-16,2015-08-14,Cycle Inspection / Re-inspection
2183,40365454,JOE & PAT'S PIZZERIA,STATEN ISLAND,1758,VICTORY BOULEVARD                                 ,10314,7189810887,Pizza/Italian,2015-06-17,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,26.0,Z,2015-06-17,2015-08-14,Cycle Inspection / Re-inspection
2219,40365472,SPAIN RESTAURANT & BAR,MANHATTAN,113,WEST   13 STREET                                  ,10011,2129299580,Spanish,2015-02-10,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9.0,A,2015-02-10,2015-08-14,Cycle Inspection / Initial Inspection
2238,40365473,PALACE CAFE,BROOKLYN,206,NASSAU AVENUE                                     ,11222,7183839848,American ,2014-11-19,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5.0,A,2014-11-19,2015-08-14,Cycle Inspection / Initial Inspection
2256,40365499,YANKEE TAVERN,BRONX,72,EAST  161 STREET,10451,7182926130,American ,2015-04-22,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13.0,A,2015-04-22,2015-08-14,Cycle Inspection / Re-inspection
2294,40365525,DONUT PUB,MANHATTAN,203,WEST   14 STREET                                  ,10011,2129290126,Donuts,2015-06-15,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,29.0,Z,2015-06-15,2015-08-14,Cycle Inspection / Re-inspection
2320,40365546,REBEN LUNCHEONETTE,BROOKLYN,229,HAVEMEYER STREET                                  ,11211,7183887696,American ,2015-03-02,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,7.0,A,2015-03-02,2015-08-14,Cycle Inspection / Initial Inspection
2350,40365577,V & T RESTAURANT,MANHATTAN,1024,AMSTERDAM AVENUE,10025,2126668051,Italian,2015-05-21,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9.0,A,2015-05-21,2015-08-14,Cycle Inspection / Initial Inspection
2376,40365592,KING YUM RESTAURANT,QUEENS,18108,UNION TURNPIKE,11366,7183801918,Chinese,2015-07-07,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,22.0,Z,2015-07-07,2015-08-14,Cycle Inspection / Re-inspection
2433,40365627,JAHN'S RESTAURANT,QUEENS,8104,37 AVENUE,11372,7186510700,American ,2015-07-09,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,11.0,A,2015-07-09,2015-08-14,Cycle Inspection / Re-inspection
2462,40365632,J&V FAMOUS PIZZA,BROOKLYN,6322,18 AVENUE                                         ,11204,7182322700,Pizza,2014-12-30,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,12.0,A,2014-12-30,2015-08-14,Cycle Inspection / Initial Inspection
2485,40365644,JOE ALLEN RESTAURANT,MANHATTAN,326,WEST   46 STREET,10036,2125816464,American ,2014-09-10,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7.0,A,2014-09-10,2015-08-14,Cycle Inspection / Initial Inspection
2505,40365709,IL VAGABONDO RESTAURANT,MANHATTAN,351,EAST   62 STREET                                  ,10065,2128329221,Italian,2015-04-06,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13.0,A,2015-04-06,2015-08-14,Cycle Inspection / Re-inspection
2548,40365726,BARBETTA RESTAURANT,MANHATTAN,319321,323 W. 46TH ST.                                                                                     ,10036,2122469171,Italian,2015-05-26,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,6.0,A,2015-05-26,2015-08-14,Cycle Inspection / Re-inspection
2567,40365784,GARGIULO'S RESTAURANT,BROOKLYN,2911,WEST   15 STREET,11224,7182664891,Italian,2014-12-18,Violations were cited in the following area(s).,02C,Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 1 65å¼ F or above within 2 hours.,Critical,13.0,A,2014-12-18,2015-08-14,Cycle Inspection / Re-inspection
2593,40365789,PATSY'S ITALIAN RESTAURANT,MANHATTAN,236,WEST   56 STREET,10019,2122473491,Italian,2015-01-29,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,11.0,A,2015-01-29,2015-08-14,Cycle Inspection / Re-inspection
2618,40365841,PARKSIDE RESTAURANT,QUEENS,10701,CORONA AVENUE,11368,7182719871,Italian,2015-08-05,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,13.0,A,2015-08-05,2015-08-14,Cycle Inspection / Re-inspection
2636,40365844,LAVELLE'S ADMIRAL'S CLUB,QUEENS,4515,BROADWAY,11103,7187212764,American ,2015-01-22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5.0,A,2015-01-22,2015-08-14,Cycle Inspection / Initial Inspection
2647,40365871,NEARY'S PUB,MANHATTAN,358,EAST   57 STREET,10022,2127511434,American ,2015-07-27,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,A,2015-07-27,2015-08-14,Cycle Inspection / Initial Inspection
2663,40365882,NEW YORK PIZZA SUPREMA,MANHATTAN,413,8 AVENUE                                          ,10001,2125948939,Pizza,2015-05-26,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7.0,A,2015-05-26,2015-08-14,Cycle Inspection / Re-inspection
